accuracy,loss,epochs,dataset_size,k_folds
0.7027027027027027,0.2972972972972973,35,0.9,10
0.7432432432432432,0.25675675675675674,35,0.9,10
0.6891891891891891,0.3108108108108108,35,0.9,10
0.7027027027027027,0.2972972972972973,35,0.9,10
0.7567567567567568,0.24324324324324326,35,0.9,10
0.6756756756756757,0.32432432432432434,35,0.9,10
0.5945945945945946,0.40540540540540543,35,0.9,10
0.4,0.6,20,0.9,10
0.33783783783783783,0.6621621621621622,20,0.9,10
0.3108108108108108,0.6891891891891891,20,0.9,10
0.3108108108108108,0.6891891891891891,20,0.9,10
0.4189189189189189,0.581081081081081,20,0.9,10
0.4189189189189189,0.581081081081081,20,0.9,10
0.3783783783783784,0.6216216216216216,20,0.9,10
0.4189189189189189,0.581081081081081,20,0.9,10
0.36486486486486486,0.6351351351351351,20,0.9,10
0.3783783783783784,0.6216216216216216,20,0.9,10
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,100,0.82,5
1.0,0.0,70,0.82,5
0.9256756756756757,0.07432432432432433,70,0.82,5
1.0,0.0,70,0.82,5
0.9594594594594594,0.04054054054054054,70,0.82,5
0.8918918918918919,0.10810810810810811,70,0.82,5
0.8456375838926175,0.15436241610738255,50,0.82,5
0.8513513513513513,0.14864864864864866,50,0.82,5
0.9324324324324325,0.06756756756756757,50,0.82,5
0.9324324324324325,0.06756756756756757,50,0.82,5
0.918918918918919,0.08108108108108109,50,0.82,5
0.47651006711409394,0.5234899328859061,35,0.82,5
0.6824324324324325,0.31756756756756754,35,0.82,5
0.6824324324324325,0.31756756756756754,35,0.82,5
0.7027027027027027,0.2972972972972973,35,0.82,5
0.7432432432432432,0.25675675675675674,35,0.82,5
0.2953020134228188,0.7046979865771812,20,0.82,5
0.34459459459459457,0.6554054054054054,20,0.82,5
0.38513513513513514,0.6148648648648649,20,0.82,5
0.3783783783783784,0.6216216216216216,20,0.82,5
0.42567567567567566,0.5743243243243243,20,0.82,5
1.0,0.0,100,0.7,3
1.0,0.0,100,0.7,3
1.0,0.0,100,0.7,3
1.0,0.0,70,0.7,3
0.9757085020242915,0.024291497975708502,70,0.7,3
0.9595141700404858,0.04048582995951417,70,0.7,3
0.7894736842105263,0.21052631578947367,50,0.7,3
0.9149797570850202,0.08502024291497975,50,0.7,3
0.854251012145749,0.145748987854251,50,0.7,3
0.5748987854251012,0.4251012145748988,35,0.7,3
0.6194331983805668,0.3805668016194332,35,0.7,3
0.6639676113360324,0.3360323886639676,35,0.7,3
0.32388663967611336,0.6761133603238867,20,0.7,3
0.3805668016194332,0.6194331983805668,20,0.7,3
0.31983805668016196,0.680161943319838,20,0.7,3
1.0,0.0,100,0.5,2
1.0,0.0,100,0.5,2
0.9973045822102425,0.0026954177897574125,70,0.5,2
0.9837837837837838,0.016216216216216217,70,0.5,2
0.816711590296496,0.18328840970350405,50,0.5,2
0.8783783783783784,0.12162162162162163,50,0.5,2
0.5283018867924528,0.4716981132075472,35,0.5,2
0.6324324324324324,0.3675675675675676,35,0.5,2
0.353099730458221,0.6469002695417789,20,0.5,2
0.31351351351351353,0.6864864864864865,20,0.5,2
